old_ncs_line_code,new_ncs_line_code
GB52Db,GB052Db
GB52Ea,GB052Ea
GB54Aa,GB054Aa
GB54Bb,GB054Bb
GB54Ca,GB054Ca
GB54Da,GB054Da
GB54Ea,GB054Ea
GB54Fb,GB054Fb
GB61Aa,GB061Aa
GB61Ba,GB061Ba
GB61Cb,GB061Cb
GB61Da,GB061Da
GB63Aa,GB063Aa
GB63Bb,GB063Bb
GB65Aa,GB065Aa
GB65Bb,GB065Bb
GB65Ca,GB065Ca
GB65Da,GB065Da
GB65Ea,GB065Ea
GB65Fb,GB065Fb
GB65Gb,GB065Gb
GB65Hb,GB065Hb
GB65Ia,GB065Ia
GB66Ab,GB066Ab
GB66Bb,GB066Bb
GB66Ca,GB066Ca
GB66Da,GB066Da
GB67Aa,GB067Aa
GB67Bb,GB067Bb
GB68Ab,GB068Ab
GB68Ba,GB068Ba
GB68Cb,GB068Cb
GB70Ab,GB070Ab
GB70Ba,GB070Ba
GB70Cb,GB070Cb
GB70Db,GB070Db
GB70Ea,GB070Ea
GB70Fa,GB070Fa
GB71Aa,GB071Aa
GB71Bb,GB071Bb
GB71Cb,GB071Cb
GB71Db,GB071Db
GB71Ea,GB071Ea
GB71Fb,GB071Fb
GB71Ga,GB071Ga
GB71Ha,GB071Ha
GB71Ib,GB071Ib
GB71Ja,GB071Ja
GB71Ka,GB071Ka
GB71La,GB071La
GB81Ab,GB081Ab
GB81Ba,GB081Ba
GB81Cb,GB081Cb
GB81Da,GB081Da
GB88Aa,GB088Aa
GB88Bb,GB088Bb
GB90Aa,GB090Aa
GB90Bb,GB090Bb
GB90Ca,GB090Ca
GB90Db,GB090Db
GB90Ea,GB090Ea
GB90Fb,GB090Fb
GB90Gb,GB090Gb
GB90Hb,GB090Hb
GB91Ab,GB091Ab
GB91Ba,GB091Ba
GB92Aa,GB092Aa
GB92Ba,GB092Ba
GB92Cb,GB092Cb
GB92Db,GB092Db
GB93Aa,GB093Aa
GB93Bb,GB093Bb
GB96Ab,GB096Ab
GB96Ba,GB096Ba
GB96Ca,GB096Ca
GB96Db,GB096Db
GB96Ea,GB096Ea
GB96Fb,GB096Fb
GB96Ga,GB096Ga
GB96Ha,GB096Ha
GB96Ib,GB096Ib
GB96Jb,GT096Jb
GT01Aa,GT001Aa
GT01Ba,GT001Ba
GT01Cb,GT001Cb
GT01Db,GT001Db
GT01Ea,GT001Ea
GT01Fb,GT001Fb
GT01Gb,GT001Gb
GT01Ha,GT001Ha
GT01Ia,GT001Ia
GT01Jb,GT001Jb
GT01Ka,GT001Ka
GT02Aa,GT002Aa
GT02Bb,GT002Bb
GT03Ab,GT003Ab
GT03Bb,GT003Bb
GT03Ca,GT003Ca
GT03Da,GT003Da
GT03Ea,GT003Ea
GT03Fb,GT003Fb
GT03Ga,GT003Ga
GT03Ha,GT003Ha
GT03Ia,GT003Ia
GT03Jb,GT003Jb
GT05Aa,GT005Aa
GT05Bb,GT005Bb
GT05Ca,GT005Ca
GT06Aa,GT006Aa
GT06Bb,GT006Bb
GT07Ab,GT007Ab
GT07Ba,GT007Ba
GT07Ca,GT007Ca
GT07Db,GT007Db
GT07Ea,GT007Ea
GT07Fb,GT007Fb
GT07Ga,GT007Ga
GT08Ab,GT008Ab
GT08Ba,GT008Ba
GT09Ab,GT009Ab
GT09Ba,GT009Ba
GT09Cb,GT009Cb
GT09Db,GT009Db
GT09Eb,GT009Eb
GT09Fb,GT009Fb
GT09Ga,GT009Ga
GT09Hb,GT009Hb
GT09Ia,GT009Ia
GT09Ja,HB009Ja
HB01Aa,HB001Aa
HB01Bb,HB001Bb
HB01Cb,HB001Cb
HB01Da,HB001Da
HB02Aa,HB002Aa
HB02Ba,HB002Ba
HB02Cb,HB002Cb
HB02Db,HB002Db
HB03Ab,HB003Ab
HB03Ba,HB003Ba
HB03Ca,HB003Ca
HB03Db,HB003Db
HB03Ea,HB003Ea
HB03Fa,HB003Fa
HB03Ga,HB003Ga
HB04Ab,HB004Ab
HB04Ba,HB004Ba
HB04Cb,HB004Cb
HB04Db,HB004Db
HB05Ab,HB005Ab
HB05Ba,HB005Ba
HB06Ab,HB006Ab
HB06Ba,HB006Ba
HB101A,HB101A
HB101B,HB101B
HB101C,HB101C
HB10Aa,HB010Aa
HB10Ba,HB010Ba
HB10Cb,HB010Cb
HB10Da,HB010Da
HB11Aa,HB011Aa
HB11Ba,HB011Ba
HB11Cb,HB011Cb
HB12Aa,HB012Aa
HB12Bb,HB012Bb
HB12Cb,HB012Cb
HB12Da,HB012Da
HB12Eb,HB012Eb
HB15Aa,HB015Aa
HB15Ba,HB015Ba
HB15Ca,HB015Ca
HB20Aa,HB020Aa
HB21Aa,HB021Aa
HB21Ba,HB021Ba
HB25Aa,HB025Aa
HB25Ba,HB025Ba
HB300A,HB300A
HB300B,HB300B
HB301A,HB301A
HB301B,HB301B
HB302A,HB302A
HB302B,HB302B
HB40Aa,HB040Aa
HB40Ba,HB040Ba
HB48Aa,HB048Aa
HB48Ba,HB048Ba
HB48Ca,HB048Ca
HB50Aa,HB050Aa
HB50Ba,HB050Ba
HB51Aa,HB051Aa
HB51Ba,HB051Ba
HB52Aa,HB052Aa
HB52Ba,HB052Ba
HB80Aa,HB080Aa
HB80Ba,HB080Ba
HB80Ca,HB080Ca
HB80Da,HB080Da
HB81Aa,HB081Aa
HB81Ba,HB081Ba
HB81Ca,HB081Ca
HB83Aa,HB083Aa
HB87Aa,HB087Aa
HB87Ba,HM087Ba
HM01AA,HM001AA
HM01AB,HM001AB
HM01BA,HM001BA
HM01BB,HM001BB
HM02AA,HM002AA
HM02AB,HM002AB
HM02AC,HM002AC
HM02BA,HM002BA
HM02BB,HM002BB
HM02BC,HM002BC
HM03A,HM003A
HM04A,HM004A
HM05A,HM005A
HM06A,HM006A
HM06B,HM006B
HM06C,HM006C
HM07A,HM007A
HM07B,HM007B
HM08A,HM008A
HM08B,HM008B
HM50AA,HM050AA
HM50BA,HM050BA
HM50BB,HM050BB
HM51AA,HM051AA
HM51BA,HM051BA
HM51BB,HO051BB
HO01A,HO001A
HO01B,HO001B
HO03A,HO003A
HO03B,HO003B
HO04A,HO004A
HO04B,HO004B
HO04C,HO004C
HO04D,HO004D
HO04E,HO004E
HO05A,HO005A
HO05B,HO005B
HO05C,HO005C
HO05D,HO005D
HO05E,HO005E
HO06A,HO006A
HO06B,HO006B
HO10A,HO010A
HO10B,HO010B
HO10C,HO010C
HO10D,HO010D
HO11A,HO011A
HO11B,HO011B
HO11C,HO011C
HO11D,HO011D
HO120A,HO120A
HO120B,HO120B
HO12A,HO012A
HO12B,HO012B
HO12C,HO012C
HO13A,HO013A
HO13B,HO013B
HO13C,HO013C
HO13D,HO013D
HO14A,HO014A
HO14B,HO014B
HO14C,HO014C
HO14D,HO014D
HO14E,HO014E
HO14F,HO014F
HO15A,HO015A
HO15B,HO015B
HO15C,HO015C
HO15D,HO015D
HO17A,HO017A
HO17B,HO017B
